,Emission source,Description,Activity data 1,Activity data 2,Factor 1,Factor 2,Factor 3,Default base uncertainty Activity data 1,Reliability Activity data 1,Geographical completeness Activity data 1,Time completeness Activity data 1,Temporal correlation Activity data 1,Geographical correlation Activity data 1,Product correlation Activity data 1,Final uncertainty Activity data 1,Default base uncertainty Activity data 2,Reliability Activity data 2,Geographical completeness Activity data 2,Time completeness Activity data 2,Temporal correlation Activity data 2,Geographical correlation Activity data 2,Product correlation Activity data 2,Final uncertainty Activity data 2,Default base uncertainty Factor 1,Reliability Factor 1,Temporal correlation Factor 1,Geographical correlation Factor 1,Product correlation Factor 1,Final uncertainty Factor 1,Default base uncertainty Factor 2,Reliability Factor 2,Temporal correlation Factor 2,Geographical correlation Factor 2,Product correlation Factor 2,Final uncertainty Factor 2,Default base uncertainty Factor 3,Reliability Factor 3,Temporal correlation Factor 3,Geographical correlation Factor 3,Product correlation Factor 3,Final uncertainty Factor 3
10,6,Electricity bills ,electricity bills,nan,electricity monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.2,0.0,0.0,0.0,0.0,3.039736830714133,,,,,,,,,,,,
11,7,Energy consumption,energy consumption,nan,energy emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.3,0.0,0.0,0.0,0.0,0.8306623862918076,,,,,,,,,,,,
12,7,Energy bills ,energy bills,nan,energy monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.5,0.0,0.0,0.0,0.0,3.3541019662496847,,,,,,,,,,,,
13,8,"See emission source 1-2-4-6 - proportional 
1        82
2        82.6
4        69.8
6        75.39466667",nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,18,Not accounted for - depending on product - apply uncertainty model ,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19,Not accounted for - depending on product - apply uncertainty model ,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,Unrelevant,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23,Not accounted for - depending on case - apply uncertainty model,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9a,Good quantity,good unit,nan,product emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,,,,,,,
19,9a,Good price,good price,nan,product monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
20,9b,Service price,service price,nan,service monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,4.898979485566356,,,,,,,,,,,,
21,10,Amortisation expense,amortisation,nan,product monetary yearly emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
22,14,leasing expense,leasing price,nan,product monetary yearly emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
23,21,leasing expense,leasing price,nan,product monetary yearly emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
24,10,Asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,,,,,,,
25,14,Leased asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,,,,,,,
26,21,Leased asset quantity,asset quantity,nan,product yearly emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,,,,,,,
27,21,Leased asset computed weight,asset quantity,nan,mass per asset unit,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,,,,
28,14,Leased asset computed weight,asset unit,nan,mass per asset unit,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,,,,
29,11,Waste quantity,waste unit,nan,product disposal emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
30,11,Waste disposal price,waste disposal price,nan,product disposal monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,,,,,,,
31,13,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.7,0.0,0.0,0.0,0.0,1.3747727084867518,,,,,,,,,,,,
32,16,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.7,0.0,0.0,0.0,0.0,1.3747727084867518,,,,,,,,,,,,
33,22,Travels with distance travelled ,distance travelled,nan,travel emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.7,0.0,0.0,0.0,0.0,1.3747727084867518,,,,,,,,,,,,
34,12,Freight expenses,freight price,nan,freight monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
35,17,Freight expenses,freight price,nan,freight monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,3.0,0.0,0.0,0.0,0.0,3.872983346207417,,,,,,,,,,,,
36,13,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,4.898979485566356,,,,,,,,,,,,
37,16,Agglomerated travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,4.898979485566356,,,,,,,,,,,,
38,22,Travel expenses,travel price,nan,travel monetary emission factor,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,4.0,0.0,0.0,0.0,0.0,4.898979485566356,,,,,,,,,,,,
39,15,Invested amount,invested amount,nan,monetary emission factor investment,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
40,12,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,0.7,0.0,0.0,0.0,0.0,1.3747727084867518,,,,,,,,,,,,
41,17,Freight with distance travelled and mass transported,distance travelled,mass transported,freight emission factor,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,0.7,0.0,0.0,0.0,0.0,1.3747727084867518,,,,,,,,,,,,
42,1,Time of use of a machine- power generated- and average consumption,time of use of machine,nan,average time consumption,fuel emission factor,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,1.2,0.0,0.0,0.0,0.0,1.9595917942265426,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,
43,3,Production activity and chemical ratio,production activity data,nan,chemical ratio,global warming potential,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,0.4,0.0,0.0,0.0,0.0,0.9797958971132711,,,,,,
44,4,Total mass of gaz- extrapolated leakage rate- measured gaz,total amount of gaz,nan,leakage rate,global warming potential,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,0.4,0.0,0.0,0.0,0.0,0.9797958971132711,,,,,,
45,9a,Good computed weight,good unit,nan,mass per product unit,product mass emission factor,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,
46,10,Asset computed weight,asset quantity,nan,mass per asset unit,asset mass emission factor,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,
47,11,Waste computed weight,waste unit,nan,mass per waste unit,waste disposal mass emission factor,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.05,0.0,0.0,0.0,0.0,0.3201562118716425,0.5,0.0,0.0,0.0,0.0,1.118033988749895,,,,,,
48,4,Air conditionned surface-  average gaz consumption per square meter- average leakage,air conditionned surface,nan,average gaz consumption per surface,leakage rate,global warming potential,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.3201562118716425,,,,,,,,,0.5,0.0,0.0,0.0,0.0,1.118033988749895,0.5,0.0,0.0,0.0,0.0,1.118033988749895,0.4,0.0,0.0,0.0,0.0,0.9797958971132711
